NUMBER,STREET,NOTIFY_DATE,NOTIFY,STATUS
1357,104TH AVE,11/3/10,Y,Done - Level 1
587,105TH AVE,9/13/10,Y,Done - Level 1
2201,106TH AVE,,Y,Done - Level 1
1648,10TH AVE,11/10/10,Y,Incomplete Evaluation
1830,10TH AVE,9/2/10,Y,Done - Level 1
1846,10TH AVE,9/14/10,Y,Level 2 - Missing slope
1925,10TH AVE,10/5/10,Y,Done - Level 1
1935,10TH AVE,9/7/10,Y,Done - Level 1
2011,10TH AVE,8/27/10,Y,Done - Level 1
2125,10TH AVE,9/23/10,Y,Done - Level 1
2210,10TH AVE,10/26/10,Y,Incomplete Evaluation
2220,10TH AVE,9/13/10,Y,Done - Level 1
2515,10TH AVE,11/4/10,Y,Done - Level 1
2525,10TH AVE,11/4/10,Y,Level 2 - Missing slope
233,10TH ST,11/4/10,Y,Exempt - less than 5 units
2201,11TH AVE,11/22/10,Y,Done - Level 1
2535,11TH AVE,,Y,Incomplete Evaluation - Unclaimed
675,11TH ST,,Y,Incomplete Evaluation
1720,12TH AVE,10/18/10,Y,Exempt - engineer's letter
1745,12TH AVE,8/30/10,Y,Incomplete Evaluation
1756,12TH AVE,8/30/10,Y,Done - Level 1
1931,12TH AVE,9/7/10,Y,Done - Level 1
2244,12TH AVE,,Y,Incomplete Evaluation - Unclaimed
2426,12TH AVE,9/22/10,Y,Done - Level 1
1212,12TH ST,,Y,Incomplete Evaluation
2622,13TH AVE,9/1/11,Y,Exempt - less than 5 units
3429,13TH AVE,8/27/10,Y,Incomplete Evaluation
184,13TH ST,9/16/10,Y,Incomplete Evaluation
2820,14TH AVE,9/23/10,Y,Done - Level 2 Required  
2900,14TH AVE,10/7/10,Y,Exempt - no large openings
2912,14TH AVE,10/28/10,Y,Incomplete Evaluation - Unclaimed
2924,14TH AVE,9/2/11,Y,Done - Level 1
2936,14TH AVE,9/29/10,Y,Done - Level 2 Required  
3104,14TH AVE,11/3/10,Y,Done - Level 1
3112,14TH AVE,8/27/10,Y,Done - Level 1
3203,14TH AVE,10/7/10,Y,Level 2 - Missing slope
185,15TH ST,8/24/10,Y,Exempt - engineer's letter
315,15TH ST,8/24/10,Y,Exempt - retrofitted
532,16TH ST,,Y,Exempt - city inspection
2325,17TH AVE,9/23/10,Y,Exempt - less than 5 units
101,17TH ST,10/25/10,Y,Ask for exemption - did not review 
123,17TH ST,9/27/10,Y,Incomplete Evaluation
145,17TH ST,9/1/10,Y,Level 1 - missing data 
150,17TH ST,,Y,Incomplete Evaluation
159,17TH ST,9/20/10,Y,Exempt - no large openings
245,17TH ST,9/21/10,Y,Done - Level 1 
670,18TH ST,8/25/10,Y,Done - Level 1
914,18TH ST,,Y,Incomplete Evaluation
1000,18TH ST,8/25/10,Y,Incomplete Evaluation - Unclaimed
1417,1ST AVE,11/22/10,Y,Exempt - engineer's letter
1516,1ST AVE,,Y,Exempt - city inspection
1501,23RD AVE,10/25/10,Y,Incomplete Evaluation - Unclaimed
1502,23RD AVE,9/14/10,Y,Done - Level 1
491,23RD ST,8/24/10,Y,Incomplete Evaluation
2224,24TH AVE,10/28/10,Y,Done - Level 2 Required  
466,24TH ST,8/27/10,Y,Done - Level 1
1654,25TH AVE,11/22/10,Y,Done - Level 1
498,25TH ST,10/7/10,Y,Incomplete Evaluation
522,25TH ST,8/30/10,Y,Exempt - no large openings
532,25TH ST,,Y,Exempt - city inspection
542,25TH ST,8/24/10,Y,Incomplete Evaluation
2545,26TH AVE,11/3/10,Y,Incomplete Evaluation
1500,27TH AVE,10/8/10,Y,Incomplete Evaluation
1508,27TH AVE,,Y,Incomplete Evaluation
1516,27TH AVE,10/8/10,Y,Incomplete Evaluation - Unclaimed
1722,27TH AVE,11/9/10,Y,Done - Level 1
1507,28TH AVE,10/19/10,Y,Done - Level 1
1609,28TH AVE,9/14/10,Y,Incomplete Evaluation - Unclaimed
1633,28TH AVE,9/3/10,Y,Incomplete Evaluation - Unclaimed
1723,28TH AVE,3/7/11,Y,Level 2 - Missing slope
1773,28TH AVE,9/3/10,Y,Done - Level 1
1783,28TH AVE,9/16/10,Y,Done - Level 1
1835,28TH AVE,11/3/10,Y,Done - Level 1
444,28TH ST,11/22/10,Y,Done - Level 1
450,28TH ST,9/22/10,Y,Done - Level 1
1500,29TH AVE,,Y,Done - Level 1
1510,29TH AVE,10/5/10,Y,Level 1 - missing data
1534,29TH AVE,9/17/10,Y,Level 2 - Missing slope
231,29TH ST,,Y,Incomplete Evaluation - Unclaimed
232,29TH ST,10/14/10,Y,Done - Level 1
236,29TH ST,,Y,Incomplete Evaluation
237,29TH ST,,Y,Incomplete Evaluation
241,29TH ST,8/24/10,Y,Done - Level 1
256,29TH ST,10/14/10,Y,Incomplete Evaluation
1407,2ND AVE,,Y,Exempt - city inspection
1437,2ND AVE,10/18/10,Y,Exempt - less than 5 units
699,30TH ST,9/1/10,Y,Exempt - no large openings
528,31ST ST,9/28/10,Y,Level 1 - missing data 
828,31ST ST,,Y,Incomplete Evaluation
870,31ST ST,,Y,Incomplete Evaluation
852,32ND ST,11/9/10,Y,Incomplete Evaluation - Unclaimed
1833,33RD AVE,11/22/10,Y,Incomplete Evaluation
1921,33RD AVE,,Y,Exempt - no large openings
1923,33RD AVE,,Y,Exempt - no large openings
1929,33RD AVE,,Y,Exempt - no large openings
1937,33RD AVE,,Y,exempt - no large openings
854,33RD ST,,Y,Incomplete Evaluation
860,33RD ST,,Y,Incomplete Evaluation
1666,34TH AVE,11/16/10,Y,Done - Level 1
454,34TH ST,NEEDS,Y,Incomplete Evaluation
880,34TH ST,,Y,Incomplete Evaluation
886,34TH ST,10/7/10,Y,Done - Level 1
984,34TH ST,,Y,Incomplete Evaluation
1428,35TH AVE,,Y,Incomplete Evaluation
1616,35TH AVE,9/14/10,Y,Incomplete Evaluation
1630,35TH AVE,,Y,Incomplete Evaluation
1664,35TH AVE,10/28/10,Y,Done - Level 1 
1952,35TH AVE,10/6/10,Y,Done - Level 1
2112,35TH AVE,9/22/10,Y,Incomplete Evaluation - Unclaimed
2289,35TH AVE,9/9/11,Y,Done - Level 1
2412,35TH AVE,11/15/10,Y,Exempt - engineer's letter
3650,35TH AVE,11/1/10,Y,Incomplete Evaluation - Unclaimed
3660,35TH AVE,10/28/10,Y,Incomplete Evaluation - Unclaimed
3020,35TH AVE - East bldg,9/16/10,Y,Done - Level 1
1568,36TH AVE,,Y,Incomplete Evaluation
1921,36TH AVE,8/26/10,Y,Incomplete Evaluation - Unclaimed
2000,36TH AVE,8/26/10,Y,Done - Level 1
2022,36TH AVE,9/16/10,Y,Done - Level 2 Required  
964,36TH ST,9/3/10,Y,Done - Level 1
484,37TH ST,,Y,Incomplete Evaluation
941,37TH ST,10/6/10,Y,Incomplete Evaluation - Unclaimed
1544,38TH AVE,11/2/10,Y,Exempt - no large openings
1908,38TH AVE,11/1/10,Y,Done - Level 1
2037,38TH AVE,9/21/10,Y,Done - Level 1
2656,38TH AVE,8/26/10,Y,Done - Level 1
2851,38TH AVE,11/15/10,Y,Done - Level 1
