parcel_number,street_number,street_name,notify_date,notify,status,latitude,longitude
022 030500100,2232,IVY DR,9/1/10,Y,Ask for exemption - did not review ,37.800755272681855,-122.24501715687126
027 085401703,2858,BROOKDALE AVE,,Y,Incomplete Evaluation,37.793340764673026,-122.21732892348163
022 030901400,323,HANOVER AVE,11/22/10,Y,Incomplete Evaluation,37.80307888721153,-122.25110802518229
010 077102000,246,GRAND AVE,8/24/10,Y,Level 2 - Missing slope,37.80992080108823,-122.25896826454637
039 330305500,6862,ARTHUR ST,11/15/10,Y,Exempt - less than 5 units,37.76598580165067,-122.18223596712797
010 080000901,101,FAIRMOUNT AVE,10/5/10,Y,Exempt - retrofitted,37.816158630221885,-122.2607644733393
011 084001700,832,YORK ST,9/2/10,Y,Done - Level 2 in process,37.81304265463006,-122.24310993797991
022 033601900,2422,8TH AVE,10/7/10,Y,Done - Level 1,37.800247289877035,-122.24127922470478
020 012900803,1417,1ST AVE,11/22/10,Y,Exempt - engineer's letter,37.79903747357774,-122.25719663528946
010 079102401,388,ORANGE ST,,Y,Incomplete Evaluation,37.81655129457884,-122.25509336476371
005 040802000,1000,18TH ST,8/25/10,Y,Incomplete Evaluation - Unclaimed,37.81184055834747,-122.282116458986
023 043301700,693,MACARTHUR BLVD,9/1/10,Y,Done - Level 2 Required  ,37.80786259654195,-122.2427707311066
008 062900100,1570,JACKSON ST,11/1/10,Y,Exempt - engineer's letter,37.804322523407336,-122.26333731555684
040 340700500,7981,MACARTHUR BLVD,,Y,Incomplete Evaluation,37.76386512694585,-122.1664297742551
010 077900400,411,EUCLID AVE,9/28/10,Y,Incomplete Evaluation - Unclaimed,37.81027500536988,-122.25178953479498
021 022709300,322,HANOVER AVE,,Y,Incomplete Evaluation - Unclaimed,37.80231250463871,-122.25144368701218
010 080900700,3309,HARRISON ST,9/13/10,Y,Incomplete Evaluation - Unclaimed,37.818595935759376,-122.25572449901075
023 042700400,635,MACARTHUR BLVD,10/13/10,Y,Done - Level 1,37.80831941671637,-122.24406865231515
,3771,HIGH ST,,Y,Done - Level 1,,
020 018700101,605,E 17TH ST,,Y,Incomplete Evaluation,37.796624357090536,-122.25013544988002
010 077700500,421,STATEN AVE,8/25/10,Y,Done - Level 1,37.80987604083643,-122.25397886918466
005 038201603,1430,FILBERT ST,,Y,Incomplete Evaluation,37.80931098359802,-122.28243578326322
023 040400101,1021,MCKINLEY AVE,10/13/10,Y,Incomplete Evaluation,37.804542502007294,-122.23824953475719
021 022501201,1824,LAKESHORE AVE,9/15/10,Y,Done - Level 1,37.801139203640226,-122.2539146930355
009 071302000,870,31ST ST,,Y,Incomplete Evaluation,37.82159414347176,-122.2752112835606
022 036702804,1907,E 30TH ST,,Y,Done - Level 2 Required  ,37.79782340583351,-122.22945697966964
010 079004000,438,VERNON ST,9/22/10,Y,Exempt - retrofitted,37.8166404159555,-122.25311610604446
038 320000502,2649,62ND AVE,9/14/10,Y,Done - Level 1,37.770825769700146,-122.18736360876423
012 099401700,174,41ST ST,1/20/11,Y,Done - Level 1,37.82696376121937,-122.25286143691345
022 034203600,2710,9TH AVE,9/21/10,Y,Done - Level 1,37.80095938949565,-122.23852835992625
005 038100400,1005,16TH STREET,,,Incomplete Evaluation,37.81021145669376,-122.28270317078166
015 135303000,5915,M L KING JR WAY,,Y,Incomplete Evaluation,37.84455683848834,-122.27103301615702
011 084002000,856,YORK ST,,Y,Incomplete Evaluation,37.81335313528552,-122.2427686659739
048F735202501,6218,ANTIOCH ST,8/27/10,Y,Done - Level 1,37.8258638912159,-122.20840573739873
012 093001300,3952,HARRISON ST,,Y,Incomplete Evaluation - Unclaimed,37.82170117638477,-122.2492121470081
029A130503501,3720,FRUITVALE AVE,11/1/10,Y,Done - Level 1,37.803028399710094,-122.2147265260376
033 212602001,1666,34TH AVE,11/16/10,Y,Done - Level 1,37.780667993934905,-122.22144017028893
008 062801000,1434,JACKSON ST,8/24/10,Y,Exempt - no large openings,37.80249615764094,-122.26452114926326
023 040301400,1146,MCKINLEY AVE,,Y,Incomplete Evaluation,37.80321858407455,-122.23860523092189
020 018700300,647,E 17TH ST,9/18/10,Y,Level 1 - missing data  ,37.79631037588901,-122.24986735491065
012 092700300,360,MONTE VISTA AVE,10/25/10,Y,Done - Level 1,37.82224265900666,-122.24885661050618
033 211702500,1808,FRUITVALE AVE,,Y,Done - Level 1,37.782125450837924,-122.22318509323391
