parcel_number,street_number,street_name,latitude,longitude
026 073700200,1945,26TH AVE,37.785391347752906,-122.22854673450236
021 023400200,829,E 19TH ST,37.79625886588222,-122.24652477160926
012 100402900,4126,OPAL ST,37.82970899060043,-122.25808242114859
015 135201700,6006,GENOA ST,37.84518276186433,-122.2725898210589
004 000500105,953,8TH ST,37.80352938415349,-122.28414961544816
002 002300800,674,10TH ST,37.803870188484794,-122.27805257528723
030 192901900,3827,MAYBELLE AVE,37.790828273003974,-122.19324849037024
010 083201600,601,JEAN ST,37.81799013729603,-122.24776539724
010 082609700,386,SANTA CLARA AVE,37.81309124123239,-122.24802789708413
016 139002101,6116,TELEGRAPH AVE,37.847682082128266,-122.26046754474356
022 035301711,1852,E 25TH ST,37.79538284637356,-122.23372729808175
022 035301710,1848,E 25TH ST,37.79542873473254,-122.23360815049654
010 081400500,3815,HARRISON ST,37.82153033964884,-122.25160816567313
024 053300800,4003,PARK BLVD,37.80615540886611,-122.2254782527462
020 021500301,1125,E 18TH ST,37.793418135266755,-122.24501278404011
037A275501800,3327,68TH AVE,37.77197225594487,-122.1761781416712
022 030801800,1940,LAKESHORE AVE,37.803218138603825,-122.25313464987222
046 547302103,9316,BANCROFT AVE,37.751945179906464,-122.1639549700238
010 079502401,75,VERNON ST,37.8129200947924,-122.25984923944434
011 083901400,550,MANDANA BLVD,37.81225651478901,-122.24289454613655
021 022602600,270,WAYNE AVE,37.80233452788786,-122.25289415234454
010 077700400,417,STATEN AVE,37.810014694036816,-122.253961135572
012 101103300,433,41ST ST,37.829229025081226,-122.26118046368269
027 084401301,2604,FRUITVALE AVE,37.78935980325411,-122.22016182139951
012 096500901,678,37TH ST,37.826701869948884,-122.270042743851
020 018101700,100,E 15TH ST,37.79928163497482,-122.2559465765339
028 095103901,3410,SCHOOL ST,37.79210061351399,-122.20641221294996
008 062900200,159,17TH ST,37.804161524542955,-122.26301363405734
012 096202700,715,40TH ST,37.82976978444375,-122.27017297225281
022 031602100,823,E 24TH ST,37.79953160407663,-122.2419029172972
021 022200302,425,E 18TH ST,37.798493032562426,-122.25080394605153
012 093000300,731,OAKLAND AVE,37.82139006756432,-122.24902849233149
010 078901601,270,PERKINS ST,37.81419161614224,-122.25494333183882
